Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2814888;Waldkappel;Waldkappel;Val'dkappel',Valdkapel,Waldkappel,faldkabl,vuarutokaperu,wa er de ka pei er,waldkpl,Валдкапел,Вальдкаппель,فالدكابل,والدکپل,ヴァルトカペル,瓦尔德卡佩尔;P;PPL;DE;Germany;;05;066;06636;06636012;5022;;237;Europe/Berlin;2015-09-05;Germany;51.14462, 9.87695
2920977;Geroldshausen;Geroldshausen;Gerol'dsgauzen,Gerol'dskhauzen,Geroldshauzen,Geroldskhauzen,ge luo er ci hao sen,gerorutsuhauzen,Геролдсхаузен,Герольдсгаузен,Герольдсхаузен,Գերոլդսհաուզեն,ゲーロルツハウゼン,格罗尔茨豪森;P;PPLA4;DE;Germany;;02;096;09679;09679137;1246;;316;Europe/Berlin;2011-04-25;Germany;49.68361, 9.90222
2932960;Egmating;Egmating;;P;PPLA4;DE;Germany;;02;091;09175;09175116;2008;;612;Europe/Berlin;2011-04-25;Germany;48.00405, 11.79528
2956570;Amerang;Amerang;Amerang,a mei lang,amrang,Амеранг,Ամերանգ,آمرانگ,阿梅朗;P;PPLA4;DE;Germany;;02;091;09187;09187113;3574;;538;Europe/Berlin;2011-04-25;Germany;47.99139, 12.30795
2853202;Pleystein;Pleystein;Bleistein,Plajshtajn,Plejshtajn,blayshtayn,pu lai si tai yin,Плайштайн,Плајштајн,Плейштайн,Պլեյշթայն,بلايشتاين,پلی‌اشتاین,普莱斯泰因;P;PPL;DE;Germany;;02;093;09374;09374147;2730;;523;Europe/Berlin;2013-02-19;Germany;49.64907, 12.40631
2865575;Neuensalz;Neuensalz;Nojenzal'c,Nojenzalc,nuo yi en sa er ci,Нойензальц,Нојензалц,诺伊恩萨尔茨;P;PPLA4;DE;Germany;;13;00;14523;14523270;2400;;426;Europe/Berlin;2014-01-02;Germany;50.5, 12.21667
2876698;Löbnitz;Lobnitz;;P;PPLA4;DE;Germany;;13;00;14730;14730180;2216;;86;Europe/Berlin;2014-01-02;Germany;51.59238, 12.46347
2815739;Wachenheim;Wachenheim;Vakhenkhajm,Vakhenkhajm an der Vinshtrase,Wachenheim,Wachenheim an der Weinstrasse,Wachenheim an der Weinstraße,wei yin si te la sai de qu wa heng hai mu,Вахенхайм,Вахенхајм ан дер Винштрасе,واخنهایم آن در واین‌اشتارسه,韦因斯特拉塞地区瓦亨海姆;P;PPL;DE;Germany;;08;00;07332;07332046;4678;;160;Europe/Berlin;2015-09-04;Germany;49.44045, 8.18041
2826290;Stralendorf;Stralendorf;Shtralendorf,shi te la lun duo fu,Штралендорф,施特拉伦多夫;P;PPL;DE;Germany;;12;00;13076;13076130;1536;;59;Europe/Berlin;2015-09-05;Germany;53.57498, 11.30356
2834955;Schwarzenbruck;Schwarzenbruck;Schwarzenbruck,Shvarcenbruk,shi wa er cen bu lu ke,Шварценбрук,Շվարցենբրուք,施瓦尔岑布鲁克;P;PPLA4;DE;Germany;;02;095;09574;09574157;8690;;364;Europe/Berlin;2011-04-25;Germany;49.35778, 11.24333
2839222;Schillingen;Schillingen;;P;PPLA4;DE;Germany;;08;00;07235;07235119;1334;;485;Europe/Berlin;2011-04-25;Germany;49.63333, 6.78333
2805451;Wustrow;Wustrow;Vustrov,Wastruew,Wostruew,Wåstrüw,Wôstrüw,fwstrw,wu si te luo fu,wwstrw,Вустров,فوسترو,ووسترو,武斯特罗夫;P;PPL;DE;Germany;;06;00;03354;03354026;3086;;19;Europe/Berlin;2020-11-15;Germany;52.9237, 11.12846
2820457;Uelversheim;Uelversheim;;P;PPLA4;DE;Germany;;08;00;07339;07339059;1162;;186;Europe/Berlin;2011-04-25;Germany;49.81, 8.28861
2841693;Sangerhausen;Sangerhausen;Sangerhausen,Zangergauzen,Zangerkhauzen,jang-geohaujen,sang ge hao sen,zanghrhawzn,zangrhawzn,Зангергаузен,Зангерхаузен,زانغرهاوزن,زانگرهاوزن,桑格豪森,장거하우젠;P;PPLA3;DE;Germany;;14;00;15087;15087370;23347;;154;Europe/Berlin;2015-09-04;Germany;51.47221, 11.29533
2855467;Pappenheim;Pappenheim;Papenkhajm,Pappengajm,Pappenham,Pappenkhajm,babnhaym,pa peng hai mu,Папенхајм,Паппенгайм,Паппенхайм,Պափենհայմ,بابنهايم,پاپن‌هایم,帕彭海姆;P;PPL;DE;Germany;;02;095;09577;09577158;4476;;412;Europe/Berlin;2013-02-19;Germany;48.93383, 10.97431
2864437;Neunkhausen;Neunkhausen;;P;PPLA4;DE;Germany;;08;00;07143;07143270;1148;;453;Europe/Berlin;2017-03-29;Germany;50.70722, 7.90278
2874642;Machern;Machern;Macherni vald,Makhern,ma hei er en,Махерн,马黑尔恩;P;PPLA4;DE;Germany;;13;00;14729;14729250;6747;;154;Europe/Berlin;2014-01-02;Germany;51.36667, 12.63333
2887366;Klotzsche;Klotzsche;;P;PPLX;DE;Germany;;13;00;14612;14612000;21064;;209;Europe/Berlin;2022-08-05;Germany;51.11053, 13.76862
2910935;Hangard;Hangard;;P;PPL;DE;Germany;;09;00;10043;10043114;1970;;255;Europe/Berlin;2015-09-05;Germany;49.3826, 7.21046
2922436;Gärtringen;Gartringen;Gaertringen,Gertringen,Gärtringen,ge er te lin gen,Гертринген,Гертрінген,Գերտրինգեն,გერტრინგენი,格尔特林根;P;PPLA4;DE;Germany;;01;081;08115;08115015;11760;;471;Europe/Berlin;2015-03-04;Germany;48.64176, 8.90073
2925053;Freinsheim;Freinsheim;Frajnskhajm,Freinsheim,fraynshaym,fraynzhaym,fu lai yin si hai mu,furainsuhaimu,Фрайнсхайм,Фрајнсхајм,فراينسهايم,فراینزهایم,フラインスハイム,弗赖因斯海姆;P;PPL;DE;Germany;;08;00;07332;07332019;4989;;118;Europe/Berlin;2015-09-05;Germany;49.50649, 8.21186
2929670;Erfurt;Erfurt;ERF,Ehrfurt,Erfesfurt [a. 1144],Erfordia,Erfurt,Erfurtas,Erfurte,Erfurti,Erfurto,Erpesforth [a. 1133],Erphesfurt [a. 742],Erphord [a. 1210],Erphourte,Erpisfurt,Erpsfordia [a. 1222],Erpsfurd [a. 1196],Jarobrod,ai er fu te,arfwrt,eafuruto,eleupuleuteu,eraphurta,Érfurt,Ερφούρτη,Ерфурт,Эрфурт,ארפורט,ערפורט,إرفورت,ارفرٹ,ارفورت,एरफुर्ट,แอร์ฟูร์ท,ერფურტი,エアフルト,埃尔福特,에르푸르트;P;PPLA;DE;Germany;;15;00;16051;16051000;213692;;195;Europe/Berlin;2022-08-14;Germany;50.9787, 11.03283
2937217;Dießen am Ammersee;Diessen am Ammersee;Diessen,Diessen am Ammersee,Dießen,Dießen am Ammersee,Markt Diessen am Ammersee,Markt Dießen am Ammersee;P;PPL;DE;Germany;;02;091;09181;09181114;10050;;548;Europe/Berlin;2015-03-04;Germany;47.95085, 11.10306
2945891;Bösenbrunn;Bosenbrunn;Bezenbrun,Bjozenbrunn,bo sen bu lun,Безенбрун,Бёзенбрунн,Бөзенбрунн,伯森布伦;P;PPLA4;DE;Germany;;13;00;14523;14523060;1460;;430;Europe/Berlin;2014-01-02;Germany;50.39703, 12.09998
2948598;Birkenfeld;Birkenfeld;;P;PPLA4;DE;Germany;;01;082;08236;08236004;10609;;382;Europe/Berlin;2011-07-31;Germany;48.86667, 8.63333
2951596;Beelen;Beelen;Beilen,Belen,Белен;P;PPLA4;DE;Germany;;07;055;05570;05570012;6344;;60;Europe/Berlin;2017-04-26;Germany;51.92906, 8.11117
